date,close,cash,shares,position_value,equity
2024-12-10,1065.0,1000000.0,0,0.0,1000000.0
2024-12-11,1045.0,1000000.0,0,0.0,1000000.0
2024-12-12,1060.0,1000000.0,0,0.0,1000000.0
2024-12-13,1065.0,1000000.0,0,0.0,1000000.0
2024-12-16,1085.0,1000000.0,0,0.0,1000000.0
2024-12-17,1075.0,1000000.0,0,0.0,1000000.0
2024-12-18,1085.0,1000000.0,0,0.0,1000000.0
2024-12-19,1070.0,1000000.0,0,0.0,1000000.0
2024-12-20,1035.0,1000000.0,0,0.0,1000000.0
2024-12-23,1080.0,158.29298200004268,924,997920.0,998078.292982
2024-12-24,1080.0,158.29298200004268,924,997920.0,998078.292982
2024-12-25,1085.0,158.29298200004268,924,1002540.0,1002698.292982
2024-12-26,1085.0,158.29298200004268,924,1002540.0,1002698.292982
2024-12-27,1090.0,158.29298200004268,924,1007160.0,1007318.292982
2024-12-30,1090.0,158.29298200004268,924,1007160.0,1007318.292982
2024-12-31,1075.0,158.29298200004268,924,993300.0,993458.292982
2025-01-02,1065.0,158.29298200004268,924,984060.0,984218.292982
2025-01-03,1075.0,158.29298200004268,924,993300.0,993458.292982
2025-01-06,1125.0,158.29298200004268,924,1039500.0,1039658.292982
2025-01-07,1130.0,158.29298200004268,924,1044120.0,1044278.292982
2025-01-08,1105.0,158.29298200004268,924,1021020.0,1021178.292982
2025-01-09,1100.0,158.29298200004268,924,1016400.0,1016558.292982
2025-01-10,1100.0,158.29298200004268,924,1016400.0,1016558.292982
2025-01-13,1075.0,158.29298200004268,924,993300.0,993458.292982
2025-01-14,1090.0,158.29298200004268,924,1007160.0,1007318.292982
2025-01-15,1065.0,158.29298200004268,924,984060.0,984218.292982
2025-01-16,1105.0,158.29298200004268,924,1021020.0,1021178.292982
2025-01-17,1120.0,158.29298200004268,924,1034880.0,1035038.292982
2025-01-20,1120.0,158.29298200004268,924,1034880.0,1035038.292982
2025-01-21,1120.0,158.29298200004268,924,1034880.0,1035038.292982
2025-01-22,1135.0,158.29298200004268,924,1048740.0,1048898.292982
2025-02-03,1070.0,158.29298200004268,924,988680.0,988838.292982
2025-02-04,1095.0,158.29298200004268,924,1011780.0,1011938.292982
2025-02-05,1110.0,158.29298200004268,924,1025640.0,1025798.292982
2025-02-06,1115.0,158.29298200004268,924,1030260.0,1030418.292982
